gid	n_B73	n_Mo17	n_ambiguous
Zm00001d001219	6	6	0
Zm00001d001220	1	0	0
Zm00001d001227	1	1	0
Zm00001d001230	1	1	0
Zm00001d001240	6	1	0
Zm00001d001248	6	3	0
Zm00001d001250	34	149	86
Zm00001d001251	1	28	0
Zm00001d001259	7	0	0
Zm00001d001261	0	1	0
Zm00001d001264	95	62	2
Zm00001d001267	1	1	0
Zm00001d001276	5	1	0
Zm00001d001281	0	1	0
Zm00001d001322	5	0	0
Zm00001d001323	12	0	0
Zm00001d001349	2	13	0
Zm00001d001352	0	1	0
Zm00001d001353	1	0	0
Zm00001d001355	0	1	0
Zm00001d001358	1	0	0
Zm00001d001377	0	1	0
Zm00001d001390	59	1	0
Zm00001d001399	0	3	0
Zm00001d001404	31	31	0
Zm00001d001412	4	0	0
Zm00001d001414	5	26	0
Zm00001d001425	60	8	0
Zm00001d001432	1	0	0
Zm00001d001434	1	0	0
Zm00001d001435	1	0	0
Zm00001d001441	778	292	11
Zm00001d001445	1	0	0
Zm00001d001448	49	54	2
Zm00001d001452	0	1	0
Zm00001d001456	11	7	1
Zm00001d001469	30	23	0
Zm00001d001471	7	4	0
Zm00001d001472	13	87	0
Zm00001d001474	1	1	0
Zm00001d001475	3	1	0
Zm00001d001479	1	0	1
Zm00001d001480	2	0	0
Zm00001d001481	0	5	0
Zm00001d001482	84	1	0
Zm00001d001483	33	0	0
Zm00001d001485	4	0	0
Zm00001d001488	4	0	0
Zm00001d001489	2	5	0
Zm00001d001490	145	194	7
Zm00001d001492	28	22	1
Zm00001d001493	9	7	1
Zm00001d001495	2	2	0
Zm00001d001496	0	1	0
Zm00001d001497	48	17	0
Zm00001d001500	0	1	0
Zm00001d001512	1	0	0
Zm00001d001520	706	562	10
Zm00001d001527	0	1	0
Zm00001d001533	2	0	0
Zm00001d001549	0	1	0
Zm00001d001551	23	17	0
Zm00001d001565	1	0	0
Zm00001d001566	62	67	0
Zm00001d001572	72	91	3
Zm00001d001582	16	7	0
Zm00001d001583	0	3	0
Zm00001d001587	1	0	0
Zm00001d001588	1	0	0
Zm00001d001609	3	4	0
Zm00001d001632	0	26	1
Zm00001d001656	9	2	0
Zm00001d001668	1	0	0
Zm00001d001673	4	2	0
Zm00001d001676	4	3	0
Zm00001d001681	1	0	0
Zm00001d001682	1	0	0
Zm00001d001686	6	7	0
Zm00001d001697	4	0	0
Zm00001d001714	10	22	0
Zm00001d001721	1	0	0
Zm00001d001723	1	1	0
Zm00001d001729	60	30	2
Zm00001d001732	1	0	0
Zm00001d001747	6	0	0
Zm00001d001750	22	15	0
Zm00001d001754	0	2	0
Zm00001d001756	74	48	1
Zm00001d001760	42	0	0
Zm00001d001762	1	4	0
Zm00001d001763	7	0	0
Zm00001d001765	40	42	2
Zm00001d001766	29	35	0
Zm00001d001770	11	16	3
Zm00001d001771	21	0	0
Zm00001d001773	0	1	0
Zm00001d001779	6	1	0
Zm00001d001780	80	126	1
Zm00001d001781	82	16	3
Zm00001d001784	100	46	0
Zm00001d001785	1	1	0
Zm00001d001786	4	7	0
Zm00001d001787	46	67	0
Zm00001d001788	466	647	4
Zm00001d001789	37	42	0
Zm00001d001790	69	56	1
Zm00001d001797	17	27	0
Zm00001d001798	14	17	0
Zm00001d001799	1	13	0
Zm00001d001800	44	28	0
Zm00001d001803	2	5	0
Zm00001d001804	14	6	0
Zm00001d001806	665	471	10
Zm00001d001807	101	84	5
Zm00001d001808	25	44	0
Zm00001d001809	280	367	4
Zm00001d001811	28	0	0
Zm00001d001812	127	106	0
Zm00001d001813	47	120	1
Zm00001d001814	192	206	3
Zm00001d001819	2	1	0
Zm00001d001820	58	55	1
Zm00001d001824	26	5	0
Zm00001d001825	2	3	0
Zm00001d001826	1	0	0
Zm00001d001827	110	56	0
Zm00001d001828	50	27	0
Zm00001d001830	75	62	2
Zm00001d001831	138	64	0
Zm00001d001837	12	12	0
Zm00001d001840	0	3	0
Zm00001d001843	168	117	1
Zm00001d001846	95	88	1
Zm00001d001847	271	197	6
Zm00001d001848	405	403	9
Zm00001d001849	58	23	1
Zm00001d001850	12	1	0
Zm00001d001855	7	10	0
Zm00001d001856	471	381	34
Zm00001d001857	17182	11744	307
Zm00001d001858	2	0	0
Zm00001d001866	33	23	0
Zm00001d001868	223	205	3
Zm00001d001869	13	81	2
Zm00001d001870	56	46	1
Zm00001d001871	1	1	1
Zm00001d001877	36	44	3
Zm00001d001879	24	3	0
Zm00001d001880	0	1	0
Zm00001d001882	1	2	0
Zm00001d001883	18	25	0
Zm00001d001884	193	187	5
Zm00001d001885	3	0	0
Zm00001d001895	45	57	0
Zm00001d001896	15	19	1
Zm00001d001897	6	6	0
Zm00001d001898	71	87	3
Zm00001d001899	4	3	0
Zm00001d001900	1	6	0
Zm00001d001901	78	98	2
Zm00001d001902	11	15	0
Zm00001d001903	159	116	4
Zm00001d001904	1	0	0
Zm00001d001905	46	42	2
Zm00001d001907	15	13	0
Zm00001d001908	554	827	12
Zm00001d001909	311	190	0
Zm00001d001910	53	35	0
Zm00001d001913	3597	3549	34
Zm00001d001914	189	241	3
Zm00001d001915	70	35	0
Zm00001d001923	1	1	0
Zm00001d001924	15	3	0
Zm00001d001928	2	5	0
Zm00001d001929	350	124	4
Zm00001d001930	6	0	0
Zm00001d001935	63	11	0
Zm00001d001936	37	39	0
Zm00001d001937	237	216	2
Zm00001d001939	3	4	0
Zm00001d001940	108	99	3
Zm00001d001941	94	128	0
Zm00001d001943	5	80	3
Zm00001d001947	119	72	2
Zm00001d001952	106	60	3
Zm00001d001953	4	7	0
Zm00001d001959	657	331	4
Zm00001d001960	69	0	0
Zm00001d001962	210	197	3
Zm00001d001963	0	1	0
Zm00001d001966	143	209	1
Zm00001d001967	236	498	4
Zm00001d001968	257	122	2
Zm00001d001972	36	25	2
Zm00001d001973	6	7	0
Zm00001d001974	4	7	0
Zm00001d001978	234	219	2
Zm00001d001979	198	231	6
Zm00001d001980	114	95	2
Zm00001d001982	51	12	2
Zm00001d001984	11	11	0
Zm00001d001987	28	12	1
Zm00001d001988	393	321	2
Zm00001d001989	7	0	0
Zm00001d001990	1	1	0
Zm00001d001993	1	0	0
Zm00001d001994	77	56	2
Zm00001d001996	7	2	0
Zm00001d001997	38	27	1
Zm00001d001999	320	262	7
Zm00001d002000	4901	5415	43
Zm00001d002001	206	410	4
Zm00001d002003	271	87	3
Zm00001d002004	0	1	0
Zm00001d002006	3953	2951	38
Zm00001d002011	1	0	0
Zm00001d002012	406	204	7
Zm00001d002013	1	0	0
Zm00001d002014	0	2	1
Zm00001d002018	7	22	1
Zm00001d002019	30	42	1
Zm00001d002020	56	20	0
Zm00001d002021	2	2	0
Zm00001d002022	68	67	0
Zm00001d002024	7	8	0
Zm00001d002025	1	0	0
Zm00001d002027	133	69	2
Zm00001d002028	180	175	0
Zm00001d002029	416	351	13
Zm00001d002032	120	0	0
Zm00001d002033	118	62	0
Zm00001d002034	366	262	9
Zm00001d002035	1	2	0
Zm00001d002036	21	23	0
Zm00001d002037	0	24	0
Zm00001d002038	4101	4517	99
Zm00001d002046	15	13	0
Zm00001d002051	11	12	1
Zm00001d002052	344	200	0
Zm00001d002053	135	41	1
Zm00001d002054	62	81	1
Zm00001d002064	12	15	1
Zm00001d002065	746	1054	43
Zm00001d002066	10	8	0
Zm00001d002068	0	0	2
Zm00001d002069	28	27	0
Zm00001d002072	1	1	0
Zm00001d002074	1	17	0
Zm00001d002075	37	17	0
Zm00001d002079	47	9	0
Zm00001d002080	225	104	3
Zm00001d002082	6	7	0
Zm00001d002084	17	11	0
Zm00001d002085	80	168	5
Zm00001d002086	22	41	0
Zm00001d002087	81	74	0
Zm00001d002089	1372	1779	23
Zm00001d002090	30	35	1
Zm00001d002095	45	60	4
Zm00001d002099	74	97	1
Zm00001d002104	0	1	0
Zm00001d002105	311	275	8
Zm00001d002111	78	6	0
Zm00001d002113	113	0	0
Zm00001d002115	2	1	0
Zm00001d002119	1	14	1
Zm00001d002122	675	257	4
Zm00001d002125	12	17	0
Zm00001d002126	223	270	6
Zm00001d002128	5	5	0
Zm00001d002129	1047	752	5
Zm00001d002130	3020	2246	32
Zm00001d002131	79	1421	39
Zm00001d002132	2	3	0
Zm00001d002137	6	4	0
Zm00001d002139	11	0	0
Zm00001d002140	44	48	0
Zm00001d002141	333	202	5
Zm00001d002143	33	54	4
Zm00001d002145	11	17	0
